"id","playerid","role","name","team","year","s1","s2","s3","s4","s5","s6","s7","s8","s9","b1","b2","b3","b4","b5","b6","b7","b8","b9","b10","b11","b12","b13","b14","b15","b16","numqs","win","lose","save","strikeout","numofmatches","innings","strikeoutrate","numofpitches","numofbatters","hitsallowed","homerunallowed","basesonballs","hitbypitch","intentionalwalk","runsallowed","earnedruns","completegames","shutouts","nowalk","opponentsbattingaverage","qsrate","supportpoint","runsupport","whip","maxspeed","minspeed","ballspeeddifference"
"859","1700060","playerP","阪口 皓亮","DeNA","2021","0.286","0.400","0.167","0.412","0.500","0.250","0.286","0.231","0.214","---","0.000","0.333","0.000","---","0.000","---","0.000","---","---","---","---","0.000","0.000","0.000","---","1","2","3","0","18","8","35","4.63","668","160","37","4","19","1","0","20","16","0","0","0",".274","12.50%","9","2.19","1.60","154","105","49"
"860","1700060","playerP","阪口 皓亮","DeNA","2022","0.333","---","---","0.500","0.000","---","0.500","0.000","0.500","---","---","0.000","---","---","---","---","---","---","---","---","---","0.000","---","---","---","0","0","0","0","2","1","3","6.00","69","14","4","1","1","0","0","3","3","0","0","0",".308","0.00%","2","6.00","1.67","150","110","40"
"861","1700060","playerP","阪口 皓亮","ヤクルト","2023","0.200","0.375","0.333","0.600","1.000","0.000","0.125","0.200","0.500","---","---","---","0.000","---","0.000","---","---","0.000","1.000","1.000","---","0.000","0.000","---","---","0","0","2","0","17","13","16+1/3","9.37","291","73","19","0","6","0","2","7","6","0","0","0",".288","0.00%","0","0.00","1.53","155","111","44"
"862","2000033","playerP","丸山 翔大","ヤクルト","2023","0.250","0.111","0.000","0.167","0.250","0.444","0.429","0.313","0.000","---","---","0.000","---","---","---","---","0.000","0.000","---","---","0.000","0.000","0.000","0.000","---","0","0","0","0","25","22","26+2/3","8.44","468","117","20","3","16","2","2","12","12","0","0","0",".204","0.00%","1","3.00","1.35","151","107","44"
"863","2108113","playerP","ロドリゲス","ヤクルト","2023","0.400","0.462","0.400","0.444","0.200","0.143","0.222","0.429","0.167","---","0.000","0.200","0.000","0.000","---","0.000","---","0.000","1.000","0.000","0.000","0.000","0.000","0.000","---","3","1","5","0","23","7","33","6.27","590","145","33","5","13","1","1","20","15","0","0","0",".260","50.00%","13","3.66","1.39","151","119","32"
"864","2103794","playerP","吉村 貢司郎","ヤクルト","2023","0.400","0.091","0.154","0.273","0.400","0.294","0.292","0.474","0.167","---","0.000","0.500","0.667","---","0.000","0.333","0.500","0.000","0.000","1.000","0.000","0.000","0.000","0.000","---","4","4","2","0","46","12","60+1/3","6.86","1001","257","66","9","14","2","0","31","29","0","0","0",".280","36.36%","26","3.84","1.33","152","107","45"
"865","1600086","playerP","尾仲 祐哉","DeNA","2017","0.000","0.400","0.167","0.400","0.444","0.500","0.222","0.273","0.000","---","---","0.000","---","---","---","---","0.000","---","0.000","0.000","0.000","0.500","0.250","1.000","---","0","1","1","0","17","11","19+1/3","7.91","402","96","22","2","15","0","0","16","14","0","0","0",".278","0.00%","0","0.00","1.91","150","113","37"
"866","1600086","playerP","尾仲 祐哉","阪神","2018","0.250","0.667","1.000","0.200","0.400","---","0.500","0.333","1.000","---","---","---","---","---","---","0.000","0.000","---","---","---","0.000","0.000","0.200","0.000","---","0","0","1","0","14","12","11+2/3","10.80","213","51","13","1","4","0","0","6","5","0","0","0",".283","0.00%","0","0.00","1.46","148","116","32"
"867","1600086","playerP","尾仲 祐哉","阪神","2019","0.333","0.500","---","0.500","0.500","0.500","0.000","1.000","---","---","---","---","0.000","---","---","---","---","---","---","---","0.000","0.000","---","0.000","---","0","0","0","0","6","5","5+2/3","9.53","110","26","6","1","5","1","0","4","4","0","0","0",".300","0.00%","0","0.00","1.94","150","119","31"
"868","1600086","playerP","尾仲 祐哉","阪神","2020","---","0.000","0.000","0.333","0.500","0.333","0.500","0.500","---","---","---","---","---","---","---","---","---","---","0.000","---","---","---","0.000","---","---","0","0","0","0","2","4","4+1/3","4.15","79","21","6","0","2","0","0","3","3","0","0","0",".316","0.00%","0","0.00","1.85","148","122","26"
