"id","year","league","team","防御率","先発防御率","救援防御率","勝","負","セーブ","奪三振","試合数","投球回","奪三振率","投球数","打者数","被安打","被本塁打","与四球","与死球","敬遠","失点","自責点","完投","完封","無四球","被打率","QS率","援護点","援護率","WHIP","UC打数","UC被安打","UC被打率","UC被本塁打","HP"
"75","2013","パ","ロ","3.77","4.16","3.14","74","68","36","899","144","1283","6.31","21,462","5,564","1,317","96","430","51","16","584","537","3","2","0",".260","41.67%","399","4.32","1.36","2,199","593",".270","36","126"
"76","2013","パ","ソ","3.56","4.14","2.72","73","69","26","985","144","1286 1/3","6.89","21,579","5,436","1,168","82","492","62","0","562","509","6","2","2",".239","39.58%","429","4.67","1.29","2,024","501",".248","43","96"
"77","2013","パ","オ","3.31","3.40","3.24","66","73","31","1,064","144","1292 1/3","7.41","21,596","5,464","1,231","89","435","52","1","529","476","13","3","2",".247","49.31%","375","3.90","1.29","2,240","577",".258","42","83"
"78","2013","パ","日","3.74","4.02","3.26","64","78","37","824","144","1276 1/3","5.81","21,416","5,549","1,284","89","485","57","15","604","530","6","2","1",".257","43.06%","391","4.14","1.39","2,149","577",".268","33","108"
"79","2014","パ","ソ","3.26","3.71","2.40","78","60","39","1,077","144","1303","7.44","21,825","5,436","1,134","90","457","54","12","522","472","7","2","0",".231","56.94%","423","4.23","1.22","2,178","544",".250","39","130"
"80","2014","パ","オ","2.89","3.10","2.51","80","62","41","1,127","144","1294","7.84","21,306","5,368","1,138","87","413","39","6","468","415","10","5","3",".232","47.22%","429","4.36","1.20","2,179","527",".242","41","115"
"81","2014","パ","日","3.61","3.82","3.28","73","68","33","1,000","144","1288 1/3","6.99","21,632","5,530","1,220","108","479","57","20","569","517","8","4","0",".245","49.31%","439","4.52","1.32","2,190","582",".266","44","124"
"82","2014","パ","ロ","4.14","4.25","3.92","66","76","32","874","144","1277","6.16","21,437","5,545","1,328","122","432","57","12","642","588","8","2","1",".263","47.92%","387","3.82","1.38","2,097","575",".274","46","86"
"83","2014","パ","西","3.77","3.94","3.46","63","77","32","914","144","1288 1/3","6.38","22,306","5,581","1,274","105","496","61","19","600","540","9","5","1",".255","47.22%","401","4.12","1.37","2,180","604",".277","47","94"
"84","2014","パ","楽","3.97","4.06","3.80","64","80","24","1,005","144","1271","7.12","21,289","5,486","1,283","101","440","58","15","604","561","11","8","5",".258","43.75%","397","3.99","1.36","2,026","544",".269","42","52"
"85","2015","パ","ソ","3.16","3.31","2.83","90","49","44","1,129","143","1299 1/3","7.82","21,500","5,398","1,137","113","422","51","5","491","456","10","4","2",".231","63.64%","519","4.84","1.20","2,177","515",".237","46","103"
"86","2015","パ","日","3.62","3.86","3.19","79","62","39","993","143","1276 2/3","7.00","21,295","5,447","1,186","101","466","58","5","581","514","11","4","2",".241","45.45%","427","4.44","1.29","2,018","499",".247","39","94"
"87","2015","パ","ロ","3.69","4.02","3.11","73","69","41","926","143","1264 2/3","6.59","21,550","5,429","1,292","101","422","54","6","563","519","5","3","2",".261","50.35%","404","4.21","1.36","2,104","569",".270","46","93"
"88","2015","パ","西","3.69","3.82","3.49","69","69","30","873","143","1265","6.21","21,707","5,411","1,172","104","472","70","15","573","519","9","1","0",".241","52.45%","422","4.36","1.30","1,992","488",".245","43","89"
"89","2015","パ","オ","3.59","3.45","3.85","61","80","30","955","143","1263 1/3","6.80","21,397","5,401","1,204","103","461","50","15","548","504","7","4","0",".247","57.34%","362","3.75","1.32","2,155","543",".252","41","69"
