"id","year","league","team","打率","打点","本塁打","安打数","単打","二塁打","三塁打","出塁率","長打率","OPS","得点圏打数","得点圏安打","得点圏打率","UC打数","UC安打","UC率","UC本塁打","試合数","打席数","打数","得点","四球","死球","企盗塁","盗塁","盗塁成功率","企犠打","犠打","犠打成功率","犠飛","代打数","代打安打","代打率","併殺","失策","三振"
"60","2021","セ","Ｄ",".258","546","136","1,233","830","254","13",".320",".402",".722","1,171","310",".265","2,105","515",".245","53","143","5,340","4,784","559","425","43","55","31",".564","95","81",".853","24","326","67",".206","107","72","1,028"
"61","2023","セ","阪",".247","534","84","1,180","883","179","34",".322",".352",".674","1,236","334",".270","2,241","573",".256","39","143","5,479","4,775","555","529","57","104","79",".760","126","106",".841","47","234","42",".179","92","84","1,173"
"62","2023","セ","広",".246","476","96","1,165","854","197","18",".304",".357",".660","1,055","270",".256","2,277","586",".257","45","143","5,241","4,728","493","374","48","120","78",".650","108","96",".889","20","272","70",".257","115","82","1,032"
"63","2023","セ","Ｄ",".247","503","105","1,182","829","230","18",".305",".369",".673","1,077","296",".275","2,326","562",".242","48","143","5,331","4,783","520","377","56","54","33",".611","142","106",".746","31","293","67",".229","103","69","846"
"64","2023","セ","巨",".252","511","164","1,218","836","204","14",".308",".402",".710","1,035","250",".242","2,404","578",".240","65","143","5,352","4,826","523","403","37","73","48",".658","112","93",".830","31","310","65",".210","94","54","1,111"
"65","2023","セ","ヤ",".239","509","123","1,128","782","212","11",".310",".367",".677","1,111","255",".230","2,290","526",".230","55","143","5,358","4,712","534","470","50","81","62",".765","137","115",".839","34","261","53",".203","112","68","1,096"
"66","2023","セ","中",".234","370","71","1,123","847","186","19",".285",".326",".610","1,009","232",".230","2,463","573",".233","29","143","5,251","4,792","390","324","39","56","36",".643","113","92",".814","22","254","44",".173","97","78","1,029"
"67","2012","パ","日",".256","485","90","1,220","915","195","20",".315",".363",".677","1,192","308",".258","2,230","567",".254","35","144","5,361","4,758","510","371","45","124","82",".661","184","161",".875","26","183","50",".273","68","72","879"
"68","2012","パ","西",".251","483","78","1,168","877","186","27",".316",".353",".670","1,148","293",".255","2,141","535",".250","38","144","5,299","4,648","516","405","54","145","94",".648","172","157",".913","35","192","39",".203","101","101","876"
"69","2012","パ","ソ",".252","439","70","1,195","908","185","32",".304",".349",".653","1,187","282",".238","2,417","588",".243","31","144","5,256","4,734","452","327","38","192","144",".750","149","123",".826","34","118","23",".195","69","73","962"
"70","2012","パ","楽",".252","463","52","1,192","941","175","24",".307",".332",".639","1,206","327",".271","2,342","577",".246","31","144","5,324","4,739","491","346","53","170","119",".700","165","144",".873","41","93","17",".183","75","79","782"
"71","2012","パ","ロ",".257","477","64","1,215","923","208","20",".320",".350",".670","1,258","337",".268","2,293","586",".256","31","144","5,369","4,732","499","404","56","105","64",".610","161","142",".882","35","118","32",".271","91","83","851"
