"id","playerid","role","name","team","year","s1","s2","s3","s4","s5","s6","s7","s8","s9","b1","b2","b3","b4","b5","b6","b7","b8","b9","b10","b11","b12","b13","b14","b15","b16","ballsum","ballnoswing","strikesum","strikenoswing","strikeeirswing","plateappearance","hit","single","twobase","threebase","homerun","walk","hitbypitch","strikeout","doubleplay","atbats","sacrificeflight","allbunt","okbunt","allstolenbase","stolenbase"
"4615","1300080","playerB","石川 柊太","ソフトバンク","2023","0.000","---","---","0.000","---","---","0.000","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","3","2","7","1","1","3","0","0","0","0","0","0","0","2","1","3","0","0","0","0","0"
"4633","1500143","playerB","川瀬 晃","ソフトバンク","2023","0.182","0.286","0.143","0.083","0.550","0.294","0.364","0.278","0.118","---","0.000","0.250","1.000","0.000","0.000","0.250","---","0.333","---","0.000","---","0.000","0.000","0.000","---","326","245","450","180","11","208","42","32","7","3","0","9","2","23","3","178","1","20","18","4","2"
"4637","1800108","playerB","野村 大樹","ソフトバンク","2023","0.250","0.400","0.000","0.400","0.333","0.000","0.167","0.273","0.500","---","0.000","---","---","---","---","---","---","0.000","---","---","0.000","0.000","0.167","---","0.000","123","85","163","34","20","83","16","13","2","0","1","4","0","22","5","74","1","5","4","1","1"
"4642","1600167","playerB","三森 大貴","ソフトバンク","2023","0.154","0.364","0.231","0.214","0.381","0.225","0.077","0.455","0.290","---","0.500","0.333","0.000","1.000","0.000","1.000","---","0.333","0.000","0.286","0.667","0.214","0.000","0.143","0.333","540","320","635","178","69","316","77","62","8","2","5","12","0","48","4","296","0","11","8","19","14"
"4646","1700135","playerB","周東 佑京","ソフトバンク","2023","0.375","0.238","0.389","0.200","0.250","0.192","0.182","0.231","0.261","---","0.000","0.167","0.000","---","0.333","---","---","1.000","---","0.333","0.000","0.000","0.333","0.111","0.000","472","358","546","171","38","268","57","49","5","1","2","20","3","56","3","237","1","7","7","41","36"
"4648","1700131","playerB","増田 珠","ソフトバンク","2023","0.500","0.000","0.333","0.000","0.417","0.250","0.000","0.200","0.000","---","---","0.000","0.000","---","---","---","0.000","---","---","0.000","0.000","---","0.000","0.333","---","127","93","144","53","11","75","12","9","2","0","1","5","3","17","0","66","0","2","1","0","0"
"4654","1900104","playerB","柳町 達","ソフトバンク","2023","0.368","0.259","0.217","0.300","0.474","0.282","0.313","0.273","0.194","---","0.200","0.000","1.000","0.000","0.000","0.000","---","0.000","0.000","0.000","---","0.333","0.000","0.000","0.000","745","617","851","282","97","375","80","61","18","1","0","58","1","104","8","311","1","5","4","3","2"
"4657","1900101","playerB","海野 隆司","ソフトバンク","2023","---","---","---","---","---","0.000","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","2","2","2","0","0","2","0","0","0","0","0","0","0","0","1","1","0","1","1","0","0"
"4659","1800109","playerB","板東 湧梧","ソフトバンク","2023","0.000","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","0.000","---","---","2","0","4","2","0","2","0","0","0","0","0","0","0","2","0","2","0","0","0","0","0"
"4661","1700136","playerB","リチャード","ソフトバンク","2023","0.500","0.333","0.500","0.222","0.200","0.000","0.000","0.000","0.000","---","---","---","---","---","---","---","---","---","0.000","---","0.000","0.000","0.000","0.000","0.000","127","87","130","31","28","64","7","6","1","0","0","2","1","25","0","61","0","0","0","0","0"
"4664","1500140","playerB","谷川原 健太","ソフトバンク","2023","0.000","1.000","0.000","0.000","0.500","0.429","---","0.333","0.000","---","---","0.000","0.000","---","---","0.000","---","---","---","0.000","---","0.000","0.000","---","---","65","47","88","19","15","46","10","9","1","0","0","3","0","12","0","43","0","0","0","3","2"
"4666","1900100","playerB","佐藤 直樹","ソフトバンク","2023","0.000","0.500","0.000","0.000","0.500","---","0.000","0.000","0.250","---","0.000","0.000","0.000","---","---","---","---","1.000","---","---","---","---","---","0.000","0.000","61","44","66","19","15","31","5","3","1","0","1","0","0","16","0","30","0","1","1","3","3"
"4667","1900010","playerB","スチュワート・ジュニア","ソフトバンク","2023","---","0.000","---","0.000","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","6","5","5","3","1","2","0","0","0","0","0","0","0","2","0","2","0","0","0","0","0"
"4668","2000108","playerB","井上 朋也","ソフトバンク","2023","0.000","0.000","0.000","0.333","0.000","0.000","0.600","0.500","---","---","---","---","---","---","---","0.000","0.000","0.000","0.000","---","0.000","0.500","0.333","0.500","---","70","40","72","23","6","41","10","7","2","0","1","3","0","10","0","38","0","0","0","0","0"
"4669","2107661","playerB","生海","ソフトバンク","2023","---","---","0.000","0.000","0.000","0.400","---","0.000","0.333","---","---","---","0.000","0.000","---","---","---","---","---","---","0.000","---","---","0.500","---","35","17","31","7","2","21","4","4","0","0","0","1","0","5","0","20","0","0","0","0","0"
